Palabra clave ANSI C encontrada: int (línea 3, palabra 1)
Palabra clave ANSI C encontrada: int (línea 4, palabra 1)
Palabra clave ANSI C encontrada: float (línea 4, palabra 2)
Palabra clave ANSI C encontrada: for (línea 5, palabra 1)
Palabra clave ANSI C encontrada: int (línea 5, palabra 2)
Palabra clave ANSI C encontrada: if (línea 6, palabra 1)
Palabra clave ANSI C encontrada: else (línea 8, palabra 2)
Palabra clave ANSI C encontrada: return (línea 13, palabra 1)
Palabra clave ANSI C encontrada: else (línea 15, palabra 1)
